window_start;window_end;signal_day;current_symbol;predicted_symbol;signal;chosen_rule;rule_support;rule_confidence;rule_lift;open;close;ret_oc;strategy_ret;equity_curve
2021-06-07;2023-06-08;2023-06-09;c;c;HOLD;c->c;0.2549800796812749;0.8311688311688312;2.7093945016022936;242.8;240.4;-0.009884678747940715;0.0;0.982562267674944
2021-06-08;2023-06-09;2023-06-13;c;c;HOLD;c->c;0.2589641434262948;0.8441558441558441;2.7164502164502164;241.51;244.33;0.011676535133120872;0.0;0.982562267674944
2021-06-09;2023-06-13;2023-06-14;c;c;HOLD;c->c;0.26294820717131473;0.8461538461538461;2.688412852969815;245.7;244.6;-0.004477004477004454;0.0;0.982562267674944
2021-06-10;2023-06-14;2023-06-15;c;c;HOLD;c->c;0.26693227091633465;0.8481012658227848;2.660917721518987;245.11;245.18;0.0002855860634000782;0.0;0.982562267674944
2021-06-11;2023-06-15;2023-06-16;c;c;HOLD;c->c;0.27091633466135456;0.85;2.6339506172839506;245.5;243.87;-0.0066395112016293095;0.0;0.982562267674944
2021-06-14;2023-06-16;2023-06-19;c;c;HOLD;c->c;0.2749003984063745;0.8518518518518519;2.607497741644083;244.47;242.28;-0.0089581543747699;0.0;0.982562267674944
2021-06-15;2023-06-19;2023-06-20;c;c;HOLD;c->c;0.2749003984063745;0.8518518518518519;2.607497741644083;241.99;241.74;-0.0010331005413446836;0.0;0.982562267674944
2021-06-16;2023-06-20;2023-06-21;c;c;HOLD;c->c;0.2788844621513944;0.8536585365853658;2.581545694975022;241.9;242.2;0.0012401818933442867;0.0;0.982562267674944
2021-06-17;2023-06-21;2023-06-22;c;c;HOLD;c->c;0.28286852589641437;0.8554216867469879;2.5560814687320716;242.15;240.66;-0.006153210819739868;0.0;0.982562267674944
2021-06-18;2023-06-22;2023-06-23;c;c;HOLD;c->c;0.2868525896414343;0.8571428571428571;2.5310924369747902;239.98;235.67;-0.017959829985832163;0.0;0.982562267674944
2021-06-21;2023-06-23;2023-06-26;c;c;HOLD;c->c;0.2908366533864542;0.8588235294117647;2.506566347469221;239.6;238.4;-0.005008347245408968;0.0;0.982562267674944
2021-06-22;2023-06-26;2023-06-27;c;c;HOLD;c->c;0.2948207171314741;0.8604651162790697;2.4824913124832935;239.02;241.21;0.009162413187180979;0.0;0.982562267674944
2021-06-23;2023-06-27;2023-06-28;c;c;HOLD;c->c;0.29880478087649404;0.8620689655172413;2.4588557993730404;241.8;239.67;-0.008808933002481489;0.0;0.982562267674944
2021-06-24;2023-06-28;2023-06-29;c;c;HOLD;c->c;0.2948207171314741;0.8505747126436781;2.453956929581186;239.94;239.99;0.0002083854296908034;0.0;0.982562267674944
2021-06-25;2023-06-29;2023-06-30;c;c;HOLD;c->c;0.29880478087649404;0.8620689655172413;2.4588557993730404;240.0;239.61;-0.0016249999999999431;0.0;0.982562267674944
2021-06-28;2023-06-30;2023-07-03;b;b;HOLD;b->b;0.1394422310756972;0.813953488372093;4.643234672304439;240.0;243.33;0.013875000000000052;0.0;0.982562267674944
2021-06-29;2023-07-03;2023-07-04;b;b;HOLD;b->b;0.14342629482071714;0.8181818181818182;4.5636363636363635;243.4;240.7;-0.011092851273623734;0.0;0.982562267674944
2021-06-30;2023-07-04;2023-07-05;b;b;HOLD;b->b;0.14741035856573706;0.8222222222222222;4.48647342995169;241.49;240.95;-0.0022361174375751395;0.0;0.982562267674944
2021-07-01;2023-07-05;2023-07-06;b;b;HOLD;b->b;0.15139442231075698;0.8260869565217391;4.411655874190565;241.47;240.96;-0.0021120636103863456;0.0;0.982562267674944
2021-07-02;2023-07-06;2023-07-07;b;b;HOLD;b->b;0.1553784860557769;0.8297872340425532;4.339095744680851;241.49;243.67;0.009027288914654761;0.0;0.982562267674944
2021-07-05;2023-07-07;2023-07-10;b;b;HOLD;b->b;0.1593625498007968;0.8333333333333334;4.2687074829931975;244.21;249.4;0.021252200974571055;0.0;0.982562267674944
2021-07-06;2023-07-10;2023-07-11;c;c;HOLD;c->c;0.26693227091633465;0.8375;2.62765625;250.01;247.99;-0.00807967681292741;0.0;0.982562267674944
2021-07-07;2023-07-11;2023-07-12;c;c;HOLD;c->c;0.26693227091633465;0.8375;2.62765625;248.4;247.52;-0.003542673107890481;0.0;0.982562267674944
2021-07-08;2023-07-12;2023-07-13;c;c;HOLD;c->c;0.26693227091633465;0.8375;2.62765625;247.97;246.19;-0.0071782876960922734;0.0;0.982562267674944
2021-07-09;2023-07-13;2023-07-14;c;c;HOLD;c->c;0.27091633466135456;0.8395061728395061;2.601432708428593;246.32;246.45;0.000527768756089621;0.0;0.982562267674944
2021-07-12;2023-07-14;2023-07-17;c;c;HOLD;c->c;0.26693227091633465;0.8375;2.62765625;244.77;245.39;0.0025329901540220457;0.0;0.982562267674944
2021-07-13;2023-07-17;2023-07-18;c;c;HOLD;c->c;0.26693227091633465;0.8375;2.62765625;245.8;246.77;0.00394629780309194;0.0;0.982562267674944
2021-07-14;2023-07-18;2023-07-19;c;c;HOLD;c->c;0.26693227091633465;0.8375;2.62765625;247.25;245.85;-0.00566228513650154;0.0;0.982562267674944
