"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","1,541.20","1,537.60","1,554.60","1,529.20","6.31M","0.09%"
"01/04/2024","1,539.80","1,531.00","1,539.80","1,512.40","6.78M","1.28%"
"01/03/2024","1,520.40","1,509.80","1,522.20","1,494.80","9.30M","2.74%"
"01/02/2024","1,479.80","1,460.20","1,480.70","1,453.20","10.46M","2.04%"
"12/29/2023","1,450.20","1,456.00","1,473.38","1,450.20","1.66M","-0.75%"
"12/28/2023","1,461.20","1,452.00","1,465.00","1,448.40","2.54M","0.80%"
"12/27/2023","1,449.60","1,449.80","1,464.60","1,445.60","2.22M","0.00%"
"12/22/2023","1,449.60","1,450.40","1,469.95","1,447.80","1.85M","-0.03%"
"12/21/2023","1,450.00","1,440.80","1,458.80","1,432.00","8.40M","0.33%"
"12/20/2023","1,445.20","1,445.80","1,464.67","1,424.20","9.41M","0.87%"
"12/19/2023","1,432.80","1,441.00","1,446.40","1,425.40","6.13M","-0.68%"
"12/18/2023","1,442.60","1,417.80","1,454.20","1,415.00","5.54M","1.65%"
"12/15/2023","1,419.20","1,451.00","1,456.20","1,414.80","16.50M","-2.91%"
"12/14/2023","1,461.80","1,468.80","1,487.80","1,444.40","19.01M","0.41%"
"12/13/2023","1,455.80","1,454.20","1,468.40","1,447.80","12.76M","0.44%"
"12/12/2023","1,449.40","1,461.00","1,466.40","1,438.60","9.59M","0.14%"
"12/11/2023","1,447.40","1,437.00","1,451.07","1,431.00","6.76M","0.91%"
"12/08/2023","1,434.40","1,442.80","1,442.80","1,422.60","4.53M","0.13%"
"12/07/2023","1,432.60","1,441.40","1,448.80","1,426.80","10.57M","-0.51%"
"12/06/2023","1,440.00","1,454.00","1,454.00","1,430.80","8.78M","0.03%"
"12/05/2023","1,439.60","1,464.20","1,464.20","1,431.20","4.92M","-1.09%"
"12/04/2023","1,455.40","1,437.20","1,458.00","1,437.00","4.95M","1.35%"
"12/01/2023","1,436.00","1,426.00","1,442.20","1,419.00","3.77M","1.17%"
"11/30/2023","1,419.40","1,405.60","1,427.40","1,396.40","10.07M","1.31%"
"11/29/2023","1,401.00","1,409.40","1,409.80","1,395.60","2.41M","-0.76%"
"11/28/2023","1,411.80","1,399.60","1,424.20","1,395.00","4.33M","-0.17%"
"11/27/2023","1,414.20","1,424.00","1,428.60","1,414.20","2.32M","-0.59%"
"11/24/2023","1,422.60","1,421.60","1,430.00","1,410.60","3.54M","0.11%"
"11/23/2023","1,421.00","1,409.40","1,425.20","1,404.20","2.59M","0.69%"
"11/22/2023","1,411.20","1,405.00","1,424.80","1,372.60","9.44M","-0.44%"
"11/21/2023","1,417.40","1,415.80","1,418.39","1,393.00","4.40M","0.67%"
"11/20/2023","1,408.00","1,410.20","1,419.80","1,384.40","3.01M","-0.18%"
"11/17/2023","1,410.60","1,376.20","1,410.60","1,376.20","8.89M","2.07%"
"11/16/2023","1,382.00","1,379.60","1,397.40","1,371.40","3.67M","-0.78%"
"11/15/2023","1,392.80","1,387.20","1,401.40","1,378.20","4.94M","0.68%"
"11/14/2023","1,383.40","1,409.80","1,418.00","1,381.85","4.80M","-1.69%"
"11/13/2023","1,407.20","1,408.40","1,416.60","1,401.00","4.71M","0.63%"
"11/10/2023","1,398.40","1,403.00","1,425.40","1,388.60","5.41M","-1.20%"
"11/09/2023","1,415.40","1,435.60","1,437.13","1,414.00","12.67M","-0.76%"
"11/08/2023","1,426.20","1,424.20","1,436.80","1,422.16","9.33M","0.10%"
"11/07/2023","1,424.80","1,410.60","1,426.60","1,398.00","5.19M","1.41%"
"11/06/2023","1,405.00","1,391.80","1,409.10","1,383.60","3.90M","0.67%"
"11/03/2023","1,395.60","1,399.40","1,416.20","1,383.80","4.57M","-0.03%"
"11/02/2023","1,396.00","1,421.80","1,433.20","1,376.00","8.10M","-1.90%"
"11/01/2023","1,423.00","1,501.00","1,513.20","1,401.20","11.30M","-2.36%"
"10/31/2023","1,457.40","1,455.00","1,466.00","1,444.00","16.18M","0.34%"
"10/30/2023","1,452.40","1,436.40","1,460.00","1,430.60","3.13M","1.34%"
"10/27/2023","1,433.20","1,456.00","1,484.40","1,433.20","4.14M","-2.79%"
"10/26/2023","1,474.40","1,481.60","1,495.80","1,471.80","11.57M","-0.59%"
"10/25/2023","1,483.20","1,475.40","1,489.80","1,460.00","3.88M","0.90%"
"10/24/2023","1,470.00","1,437.40","1,470.60","1,435.80","2.73M","0.52%"
"10/23/2023","1,462.40","1,466.00","1,474.40","1,454.80","3.39M","0.03%"
"10/20/2023","1,462.00","1,454.20","1,466.80","1,448.40","6.43M","0.74%"
"10/19/2023","1,451.20","1,486.60","1,488.23","1,448.60","6.19M","-2.96%"
"10/18/2023","1,495.40","1,497.60","1,513.00","1,493.00","4.13M","-0.59%"
"10/17/2023","1,504.20","1,505.40","1,509.20","1,482.80","7.04M","0.74%"
"10/16/2023","1,493.20","1,513.40","1,513.40","1,488.00","3.71M","-1.11%"
"10/13/2023","1,510.00","1,511.80","1,531.00","1,505.60","4.86M","-0.64%"
"10/12/2023","1,519.80","1,530.20","1,533.20","1,511.20","7.72M","0.04%"
"10/11/2023","1,519.20","1,514.00","1,563.20","1,514.00","5.22M","-0.14%"
"10/10/2023","1,521.40","1,517.60","1,525.40","1,512.20","4.46M","0.88%"
"10/09/2023","1,508.20","1,502.00","1,521.00","1,498.60","3.23M","0.59%"
"10/06/2023","1,499.40","1,494.60","1,503.40","1,470.20","3.73M","1.11%"
"10/05/2023","1,483.00","1,485.20","1,491.60","1,471.40","4.39M","-0.26%"
